id,mon,stay,freq,plan,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad8_1,ad8_2,ad8_3,ad8_4,ad8_5,inf01,inf02,inf03,inf04,inf05,inf06,inf07,inf08,inf09,inf10,item1,item2,item3,item4,item5,item6,item7,item8,item9,purp1,purp2,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,att17,att18,type,s1,s2,s3,s4,s5,s6,s7,s8,btimes,bprice,local1,local2,local3,local4,local5,prepay,pmoney,pdollar,airf,pit1,pit2,pit3,pit4,pit5,money,dollar,money1,p1,money2,p2,money3,p3,money4,p4,money5,p5,money6,p6,m601,m602,m603,m604,m605,m606,m607,m608,m609,m610,utax,taxc,act01,act02,act03,act04,act05,act06,act07,act08,act09,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,sp01,sp02,sp03,sp04,sp05,sp06,sp07,sp08,sp09,sp10,sp11,sp12,sp13,sp14,sp15,spfav,spleas,ts01,ts02,ts03,ts04,ts05,ts06,ts07,ts08,ts09,ts10,slp1,hcity,htype,hsat,slp2,msat,slp3,ysat,slp4,slp5,slp6,slp7,slp8,again,agwhy,recom,s11,s12,s13,s13a,s14,s15,s16,s17,s21,s22,s23,s31,s32,s33,s34,s35,ssall,country,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13,g14,g15,g16,g17,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,nation,resid,prov,age,income,educ,occup,gender,area
10001,1,12,4,180,1,5,0,0,0,0,0,0,5,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,25000,16,2,1,0,0,0,0,35000,16,0,.,12250,2,12250,2,7000,2,0,.,3500,2,0,0,350,0,3150,0,0,0,0,0,2,.,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66,9,10,13,271,273,.,.,.,.,.,.,.,.,.,66,.,5,5,5,0,0,0,5,5,0,0,1,1,3,3,0,.,0,.,0,0,0,0,0,1,4,1,3,4,4,5,5,4,4,3,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,.,3,2,3,7,1,1
10002,1,6,1,30,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,5,4,3,.,.,.,.,.,1,4000,2,1,1,1,1,1,1,10000,2,0,.,0,.,0,.,0,.,0,.,10000,1,1000,4000,0,0,5000,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,801,235,1,2,3,18,12,24,185,270,271,291,315,350,370,235,.,0,3,0,0,5,0,0,0,5,0,1,1,3,3,0,.,0,.,0,0,0,0,0,2,.,1,4,4,0,0,0,4,4,3,3,5,5,4,5,5,4,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,6,8,3,12,2,1
10003,1,6,1,30,1,0,0,0,0,0,4,4,0,.,.,.,.,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,5,4,5,5,5,4,4,4,.,.,.,.,.,1,4000,2,1,1,1,1,1,1,8000,2,0,.,0,.,0,.,0,.,0,.,8000,1,0,0,1600,0,2400,1600,0,0,2400,0,2,.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,801,2,1,3,18,12,24,185,235,270,271,315,350,370,382,2,.,0,4,0,0,5,0,0,0,4,0,1,1,3,4,0,.,0,.,0,0,0,0,0,1,1,1,3,3,4,0,0,4,4,3,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,6,8,2,12,1,1
10004,1,7,1,14,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,4,5,5,5,5,6,4,.,.,.,.,.,1,3880,2,1,1,1,1,1,1,1500,2,0,.,0,.,0,.,0,.,0,.,1500,1,0,0,0,0,1500,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,865,280,1,2,3,18,12,24,67,185,235,291,315,350,.,350,280,0,4,0,0,5,0,0,0,0,0,1,12,3,5,0,.,0,.,0,0,0,0,0,2,.,2,3,3,2,0,0,4,4,3,3,4,4,5,5,5,4,4,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,8,3,12,2,1
10005,1,7,1,30,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,5,5,3,6,4,.,.,.,.,.,1,3880,2,1,1,1,1,1,1,4500,2,0,.,0,.,0,.,0,.,0,.,4500,1,1800,0,0,900,1800,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,865,67,280,1,2,3,18,12,24,185,235,291,315,350,.,67,280,0,3,0,0,5,0,0,0,0,0,1,12,3,5,0,.,0,.,0,0,0,0,0,2,.,2,4,4,3,0,0,4,4,3,4,4,4,5,4,5,4,4,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,8,2,12,1,1
10006,1,17,2,30,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,50000,16,35000,1,5000,1,7500,1,2500,1,0,.,0,.,0,0,0,0,0,0,0,0,0,0,2,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185,235,.,.,.,.,.,.,.,.,.,.,.,.,.,185,235,4,5,0,0,0,0,0,3,0,0,1,10,3,3,0,.,0,.,0,0,0,0,0,1,1,1,0,5,2,5,2,5,5,3,5,5,5,5,5,5,5,4,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,.,5,7,3,3,1,1
10007,1,7,1,7,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,10,3,.,.,.,.,.,1,3500,2,1,1,1,1,1,1,5000,2,0,.,0,.,0,.,0,.,0,.,5000,2,0,0,0,0,2500,500,0,0,2000,0,2,.,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,865,295,1,2,3,18,12,67,185,235,270,271,315,50,370,295,.,0,4,0,0,5,0,0,0,4,0,1,16,1,5,0,.,0,.,0,0,0,0,0,1,1,1,4,5,0,0,0,5,5,4,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,5,7,8,2,12,2,1
10008,1,7,1,14,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,4,5,3,5,5,5,4,10,4,.,.,.,.,.,1,3500,2,1,1,1,1,1,1,7000,2,0,.,0,.,0,.,0,.,0,.,7000,3,1400,0,350,1750,3500,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,801,1,2,3,18,12,67,185,235,270,271,295,315,350,370,801,.,0,5,0,0,5,0,0,0,4,0,1,16,1,5,0,.,0,.,0,0,0,0,0,1,1,1,5,5,2,0,0,5,5,2,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,2,2,5,2,1
10009,1,5,1,90,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,2,4,4,4,4,8,3,.,.,.,.,.,1,5000,2,1,1,1,1,1,1,10000,16,0,.,0,.,0,.,0,.,0,.,10000,1,0,0,0,0,3000,3000,0,0,4000,0,2,.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,825,67,18,1,2,9,66,185,189,270,271,808,.,.,.,67,18,0,0,0,0,4,0,0,0,3,0,1,1,2,1,0,.,0,.,0,0,0,0,0,1,1,1,4,4,4,0,0,4,4,3,3,5,5,4,4,4,4,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,3,3,2,8,1,1
10010,1,5,1,90,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,5,3,5,5,5,4,8,3,.,.,.,.,.,1,5000,2,1,1,1,1,1,1,4000,2,0,.,0,.,0,.,0,.,0,.,4000,2,0,1200,800,1600,400,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,825,66,1,2,9,18,67,185,189,270,271,808,.,.,.,66,.,0,0,0,0,5,0,0,0,5,0,1,1,2,3,0,.,0,.,0,0,0,0,0,1,1,1,5,5,3,0,0,5,5,2,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,3,2,3,5,2,1
