id,mon,stay,freq,plan,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad8_1,ad8_2,ad8_3,ad8_4,ad8_5,inf01,inf02,inf03,inf04,inf05,inf06,inf07,inf08,inf09,inf10,itm1,itm2,itm3,itm4,itm5,itm6,itm7,itm8,itm9,purp1,purp2,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,att17,att18,type,s1,s2,s3,s4,s5,s6,s7,s8,btimes,bprice,local1,local2,local3,local4,local5,prepay,pmoney,pdollar,airf,pit1,pit2,pit3,pit4,pit5,money,dollar,money1,p1,money2,p2,money3,p3,money4,p4,money5,p5,money6,p6,m601,m602,m603,m604,m605,m606,m607,m608,m609,m610,utax,taxc,act01,act02,act03,act04,act05,act06,act07,act08,act09,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,sp01,sp02,sp03,sp04,sp05,sp06,sp07,sp08,sp09,sp10,sp11,sp12,sp13,sp14,sp15,spfav,spleas,ts01,ts02,ts03,ts04,ts05,ts06,ts07,ts08,ts09,ts10,ts11,slp1,htype,hstar,hsat,slp2,msat,slp3,slp4,slp5,slp6,slp7,slp8,slp9,again,agwhy,recom,s11,s12,s13,s13a,s14,s15,s16,s17,s21,s22,s23,s31,s32,s33,s34,s35,sall,country,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13,g14,g15,g16,g17,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,nation,resid,prov,age,income,educ,occup,gender,area
10001,1,6,1,21,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,2,.,.,.,.,.,.,.,.,29000,16,18000,1,2000,1,2000,1,0,.,0,.,7000,1,0,0,0,0,6570,0,0,130,300,0,2,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,5,0,5,0,0,0,0,3,0,0,0,1,5,5,4,0,.,0,0,0,0,0,0,0,1,2,1,5,3,5,0,0,5,3,3,5,2,4,5,3,3,5,2,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,11,.,2,3,3,2,1,1
10002,1,14,4,30,1,0,0,0,0,0,0,5,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,35000,16,15000,1,10000,1,3000,1,3000,1,0,.,4000,1,1500,0,500,0,2000,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,802,66,1,8,12,19,3,18,10,235,292,.,.,.,.,66,.,5,0,5,0,0,0,0,0,0,0,0,1,5,5,5,0,.,0,0,0,0,0,0,0,1,4,1,5,5,0,0,4,5,5,5,5,4,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7,7,.,5,8,1,12,2,1
10003,1,4,1,300,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,99,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,29300,16,9600,1,11500,1,3000,1,0,.,0,.,5200,1,0,1200,0,0,4000,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,801,1,2,3,8,.,.,.,.,.,.,.,.,.,.,801,.,0,0,5,0,0,0,0,3,0,0,0,1,3,3,5,0,.,0,0,0,0,0,0,0,1,1,1,4,4,1,0,4,5,4,4,4,3,4,4,4,4,4,3,4,4,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,7,.,5,5,2,1,2,1
10004,1,1,4,240,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,10000,1,2,1,0,0,0,0,4500,16,0,.,3000,1,500,1,1000,1,0,.,0,.,0,0,0,0,0,0,0,0,0,0,2,.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,3,4,0,0,0,1,3,0,3,0,.,0,0,0,0,0,0,0,1,4,1,0,5,0,0,0,4,3,5,4,3,5,4,4,4,3,5,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7,.,5,5,2,2,1,1
10005,1,4,10,30,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,2,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,15000,16,2,1,0,0,0,0,48000,16,0,.,10000,1,3000,1,0,.,30000,1,5000,1,3000,0,0,0,0,0,0,0,2000,0,2,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,5,0,0,0,0,5,0,0,0,1,3,0,4,0,.,0,0,0,0,0,0,0,1,2,1,0,5,5,0,3,4,4,4,4,4,5,0,5,5,4,4,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,.,3,7,2,1,1,1
10006,1,3,2,14,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,2000,16,2,1,0,0,0,0,12000,16,7500,1,1500,1,3000,1,0,.,0,.,0,.,0,0,0,0,0,0,0,0,0,0,2,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,5,0,0,0,0,0,5,0,0,0,1,3,0,4,0,.,0,0,0,0,0,0,0,1,2,1,0,3,3,0,5,5,5,5,4,4,5,4,4,4,4,5,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,.,3,2,2,2,1,1
10007,1,2,2,21,1,0,0,3,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,99,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,345,3,2,1,0,0,0,0,6100,16,0,.,600,1,500,1,0,.,300,1,4700,1,0,0,2200,0,2500,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,801,9,11,5,.,.,.,.,.,.,.,.,.,.,.,9,11,0,5,4,0,0,0,4,0,0,0,0,1,3,0,4,0,.,0,0,0,0,0,0,0,1,1,1,5,5,5,0,5,5,5,5,3,3,4,4,4,4,4,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,.,2,8,2,11,2,1
10008,1,4,1,60,1,0,0,3,0,0,0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,99,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,3650,3,1,1,0,0,0,0,30800,16,0,.,8000,2,1800,2,1000,2,0,.,20000,2,0,0,4000,0,12000,0,2000,0,2000,0,2,.,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,801,10,9,1,2,12,3,18,24,808,.,.,.,.,.,10,.,0,0,5,0,0,0,5,5,0,0,0,1,3,0,4,0,.,0,0,0,0,0,0,0,1,1,1,5,5,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,3,.,3,3,2,5,2,1
10009,1,7,1,60,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,99,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,400,8,2,1,0,0,0,0,400,8,0,.,200,2,150,2,0,.,0,.,50,2,0,0,50,0,0,0,0,0,0,0,2,.,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,801,65,19,185,68,82,.,.,.,.,.,.,.,.,.,65,.,5,5,0,0,0,0,4,3,4,0,0,0,.,.,.,1,5,0,0,0,0,0,0,0,2,.,1,0,5,4,0,3,5,4,4,2,2,5,3,3,3,3,4,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,8,.,5,7,2,2,2,1
10010,1,11,1,30,1,0,0,5,0,0,0,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,74200,16,0,.,4800,1,3000,1,0,.,0,.,66400,1,10000,40000,800,3500,4000,1000,0,6900,200,0,2,.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,801,79,8,19,128,802,808,.,.,.,.,.,.,.,.,79,.,0,0,5,0,0,0,0,0,0,0,0,0,.,.,.,0,.,0,0,1,0,0,0,0,1,1,1,5,5,5,0,5,5,5,5,5,4,5,4,5,0,5,5,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,10,6,8,1,5,2,1
